,Alamosa,Aspen,Avon,Basalt,Berthoud,Boulder,Breckenridge,Cortez,Craig,Crested Butte,Denver,Durango,Eagle,Fort Collins,Golden,Greeley,Keystone,Lyons,Montrose,Ouray,Pueblo,Salida,Snowmass,Telluride,Windsor
Alamosa,,,,,,,,,,,,,,,,,,,,,123,82,,,
Aspen,,,93,19,,,138,,,104,,,73,,,,139,,,,,87,8,,
Avon,,,,75,,118,46,,,,106,,21,,98,,47,,,,,111,91,,
Basalt,,,,,,,120,,,86,,,55,,,,121,,,,,,17,,
Berthoud,,,,,,27,116,,,,45,,,20,50,28,109,18,,,,,,,23
Boulder,,,,,,,99,,,,28,,,55,20,54,92,17,,,,,,,48
Breckenridge,,,,,,,,,,,81,,66,,73,,15,108,,,,80,136,,
Cortez,,,,,,,,,,,,46,,,,,,,,116,,,,76,
Craig,,,,,,,,,,,,,,,,,139,,,,,,,,
Crested Butte,,,,,,,,,,,,,118,,,,,,92,128,,93,102,,
Denver,,,,,,,,,,,,,,64,15,62,79,44,,,112,,,,57
Durango,,,,,,,,,,,,,,,,,,,107,71,,,,120,
Eagle,,,,,,,,,,,,,,,118,,67,,,,,,71,,
Fort Collins,,,,,,,,,,,,,,,75,32,,38,,,,,,,17
Golden,,,,,,,,,,,,,,,,71,66,36,,,124,,,,66
Greeley,,,,,,,,,,,,,,,,,,44,,,,,,,15
Keystone,,,,,,,,,,,,,,,,,,102,,,,100,,,128
Lyons,,,,,,,,,,,,,,,,,,,,,,,,,39
Montrose,,,,,,,,,,,,,,,,,,,,36,,129,,66,
Ouray,,,,,,,,,,,,,,,,,,,,,,,,50,
Pueblo,,,,,,,,,,,,,,,,,,,,,,98,,,
Salida,,,,,,,,,,,,,,,,,,,,,,,95,,
Snowmass,,,,,,,,,,,,,,,,,,,,,,,,,
Telluride,,,,,,,,,,,,,,,,,,,,,,,,,
Windsor,,,,,,,,,,,,,,,,,,,,,,,,,
